District,PS Name,FIR No,Date Report,Date Accident,Time Report,Time Accident,Sections,Accident type,Death,Grievous,Minor,Pedestrian,Cyclist,Latitude,Longitude,Place of Occurance,Type Area,City/Town/ Village,Lanes Road,Divider,Spot Accident,Weather,T -Junction,Collision,Type Road,Road Features,Visibility,Traffic Control,Accussed Vehicle,Victim Vehicle
ALAPPUZHA,Punnapra,2181/2000,29/01/2020,25/01/2020,22:00:00,04:30:00,"279,337,338",Grevious Injury,0,1,1,0,0,8.9929708,76.7915006,LOWER KARIKKAM,Rural,Village,Double,no,Near bus stop,Sunny/Clear,Y- junction,With parked vehicle,State Highway,Straight Road,Good,Police controlled,Motor Cycle,Car
ALAPPUZHA,Punnapra,2182/2000,30/01/2020,29/01/2020,14:30:00,19:45:00,"279,304(A)",Grevious Injury,0,1,0,0,0,9.0435311,76.7736072,INCHAKKADU,Rural,Village,Double,no,Near bus stop,Mist/Fog,T- Junction,Head on Collision,State Highway,Ongoing Road Works/Under Construction,Good,Police controlled,Car,Motor Cycle
ALAPPUZHA,Alappuzha South,2183/2000,23/01/2020,15/01/2020,14:30:00,08:30:00,"279,337,304(A)",Grevious Injury,0,1,1,0,0,9.0435311,76.7736072,INCHAKKADU,Rural,Village,Double,no,Near bus stop,Mist/Fog,T- Junction,Hit Fix / Stationary Object,State Highway,Straight Road,Good,Police controlled,Motor Cycle,Lorry
ALAPPUZHA,Arthinkal,2184/2000,11/01/2020,06/01/2020,10:00:00,19:30:00,"279,338",Fatal,1,0,0,0,0,9.0435311,76.7736072,INCHAKKADU,Rural,Village,Double,no,Near bus stop,Mist/Fog,T- Junction,Head on Collision,State Highway,Straight Road,Good,Police controlled,Motor Cycle,Goods Auto
ALAPPUZHA,Arthinkal,2185/2000,16/01/2020,03/01/2020,16:00:00,19:00:00,MO(Grevious),Grevious Injury,0,1,0,0,0,9.015645,76.653985,MONNUMUKKU,Rural,Village,Single,no,Other,Sunny/Clear,NA,Rear end collision,Other Road,Others,Not Known,Uncontrolled,Scooter,Lorry
ALAPPUZHA,Punnapra,2186/2000,20/01/2020,17/01/2020,18:18:00,18:00:00,"279,337,338",Grevious Injury,0,1,0,0,0,8.87304,76.869499,CHADAYAMANGALAM,Urban,City,Double,no,Other,Sunny/Clear,NA,Hit from Side,State Highway,Others,Good,Uncontrolled,Scooter,Private Bus
ALAPPUZHA,Alappuzha South,2187/2000,10/01/2020,02/01/2020,20:00:00,16:30:00,"279,337,338",Minor Injury,0,0,2,0,0,9.0010402,76.7667098,CHENTHARA JN,Rural,Village,Single,no,Near bus stop,Sunny/Clear,T- Junction,Head on Collision,Other Road,Straight Road,Good,Uncontrolled,Scooter,Car
ALAPPUZHA,Harippad,2188/2000,27/01/2020,23/01/2020,02:00:00,17:10:00,"279,337",Grevious Injury,0,1,0,0,0,8.9992624,76.7681746,NR KOTTARAKKARA SUPPLYCO,Rural,Village,Single,no,In Open area,Sunny/Clear,Staggered junction,Other,National Highway,Straight Road,Good,Uncontrolled,Scooter,Mini Lorry
ALAPPUZHA,Punnapra,2189/2000,19/01/2020,18/01/2020,15:00:00,16:00:00,"279,337,338",Grevious Injury,0,1,0,1,0,8.9716725,76.7855147,THAVAIKODU,Rural,Village,Single,no,Near bus stop,Sunny/Clear,T- Junction,Hit Pedestrian,Other Road,Straight Road,Good,Police controlled,Motor Cycle,Scooter
ALAPPUZHA,Vallikunnam,2190/2000,01/01/2020,26/12/2020,14:30:00,10:20:00,"279,337,338",Fatal,1,1,0,0,0,8.9808181,76.8377892,CHIRATTAKONAM,Rural,Village,Single,no,Near bus stop,Sunny/Clear,T- Junction,Head on Collision,Other Road,Straight Road,Good,Uncontrolled,Scooter,Tipper
ALAPPUZHA,Alappuzha South,2191/2000,04/01/2020,19/12/2020,19:30:00,11:30:00,"279,337,338",Grevious Injury,0,1,2,0,0,8.9916681,76.7978533,LOWER KARIKKAM,Rural,Village,Double,no,Near bus stop,Sunny/Clear,T- Junction,Head on Collision,State Highway,Straight Road,Good,Uncontrolled,Scooter,Scooter
ALAPPUZHA,Arthinkal,2192/2000,07/01/2020,24/12/2020,19:00:00,21:00:00,"279,338",Grevious Injury,0,1,0,1,0,9.0545611,76.7691968,KALAYAPURAM,Rural,Village,Double,no,Near bus stop,Mist/Fog,T- Junction,Hit Pedestrian,State Highway,Straight Road,Good,Uncontrolled,Motor Cycle,Motor Cycle
ALAPPUZHA,Punnapra,2193/2000,10/01/2020,09/01/2020,13:21:00,10:01:00,"279,337,338,134(a+b)",Grevious Injury,0,2,0,0,0,8.898501,76.741939,NALKAVALA,Rural,Village,Single,no,Near petrol pump,Sunny/Clear,T- Junction,Head on Collision,Other Road,Others,Poor,Uncontrolled,Scooter,Lorry
ALAPPUZHA,Chengannur,2194/2000,16/01/2020,09/01/2020,16:30:00,08:30:00,"279,337,338",Grevious Injury,0,1,0,0,0,8.923156,76.897885,PANACHAVILA,Rural,Village,Double,no,Near bus stop,Sunny/Clear,T- Junction,Skidding,State Highway,Straight Road,Good,Police controlled,Motor Cycle,Other Medium Goods vehicle
ALAPPUZHA,Chengannur,2195/2000,18/01/2020,23/12/2020,18:30:00,18:45:00,"279,337,338",Grevious Injury,0,1,1,0,0,9.055291,76.645426,OOKKEN MUKKU BHARANICKAVU,Rural,Village,Single,no,Near petrol pump,Cloudy,Staggered junction,Other,Other Road,Others,Poor,Uncontrolled,Motor Cycle,Auto rickshaw
ALAPPUZHA,Chengannur,2196/2000,24/01/2020,16/01/2020,09:27:00,20:15:00,"279,337,338",Fatal,1,0,0,1,0,8.938456,76.901652,PANAYAMCHERY,Rural,Village,Single,no,Near bus stop,Mist/Fog,T- Junction,Hit Pedestrian,Other Road,Curved Road,Good,Police controlled,Motor Cycle,Auto rickshaw
ALAPPUZHA,Nooranadu,2197/2000,28/01/2020,28/01/2020,17:30:00,08:30:00,"279,304(A)",Grevious Injury,0,1,0,0,0,8.9058894,76.8014512,POOYAPPALLY,Rural,Village,Single,no,Near bus stop,Sunny/Clear,Four arm junction,Right turn collision,Other Road,Straight Road,Good,Uncontrolled,Motor Cycle,Motor Cycle
ALAPPUZHA,Chengannur,2198/2000,06/01/2020,28/12/2020,18:12:00,20:45:00,"279,337,338",Grevious Injury,0,1,1,0,0,8.9058894,76.8014512,CHUNGATHARA,Rural,Village,Single,no,Near bus stop,Sunny/Clear,T- Junction,Right turn collision,Other Road,Straight Road,Good,Uncontrolled,Motor Cycle,Motor Cycle
ALAPPUZHA,Chengannur,2199/2000,12/01/2020,21/12/2020,11:22:00,17:30:00,"279,337,338",Grevious Injury,0,2,0,0,0,8.8522575,76.7971145,KARINGANNOOR,Rural,Village,Single,no,Near bus stop,Sunny/Clear,NA,Rear end collision,Other Road,Straight Road,Good,Uncontrolled,Scooter,Motor Cycle
ALAPPUZHA,Pulincunnu,2200/2000,07/01/2020,03/01/2020,19:57:00,18:31:00,"279,337,338",Grevious Injury,0,1,0,1,0,8.8749352,76.7765335,CHUNGATHARAOYOOR,Rural,Village,Single,no,Near bus stop,Sunny/Clear,T- Junction,Hit Pedestrian,Other Road,Straight Road,Good,Uncontrolled,Scooter,Private Bus
ALAPPUZHA,Chengannur,2201/2000,23/01/2020,18/01/2020,12:35:00,18:15:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.082975,76.855546,MANJALLOOR,Rural,Village,Single,no,Near bus stop,Sunny/Clear,Four arm junction,Hit and run,Other Road,Others,Good,Uncontrolled,Motor Cycle,Auto rickshaw
ALAPPUZHA,Edathua,2202/2000,26/01/2020,23/01/2020,11:20:00,18:00:00,"279,337,338",Non Injury,0,0,0,0,0,9.091017,76.85762,CHELACODU,Rural,Village,Single,no,Other,Sunny/Clear,NA,Hit and run,Other Road,Others,Good,Uncontrolled,Scooter,Car
ALAPPUZHA,Chengannur,2203/2000,24/01/2020,24/01/2020,16:30:00,18:45:00,"279,337,338,304(A)",Grevious Injury,0,1,0,0,0,8.842776,76.913811,KOTTAPURAM,Rural,Village,Double,no,In Open area,Cloudy,Round about junction,Hit from Back,Other Road,Others,Poor,Uncontrolled,Motor Cycle,Auto rickshaw
ALAPPUZHA,Punnapra,2204/2000,17/01/2020,01/01/2020,14:14:00,10:30:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.060008,76.638359,BHARANICKAVU,Rural,Village,Single,no,Near bus stop,Sunny/Clear,Staggered junction,Other,Other Road,Others,Good,Traffic light signal,Scooter,Motor Cycle
ALAPPUZHA,Cherthala,2205/2000,01/01/2020,22/12/2020,21:30:00,19:45:00,"279,337,338",Grevious Injury,0,1,0,0,0,8.9706732,76.7752182,NELLIKUNNAM,Rural,Village,Single,yes,Near bus stop,Mist/Fog,T- Junction,Head on Collision,State Highway,Straight Road,Good,Police controlled,Car,Car
ALAPPUZHA,Edathua,2206/2000,04/01/2020,25/12/2020,17:00:00,07:30:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.024385,76.696565,MALANADA MUKALUVILA JN ,Rural,Village,Single,no,Other,Sunny/Clear,NA,Skidding,Other Road,Curved Road,Good,Uncontrolled,Scooter,Car
ALAPPUZHA,Nooranadu,2207/2000,26/01/2020,25/01/2020,17:54:00,08:45:00,"279,304(A),134(a+b)",Grevious Injury,0,1,0,0,0,8.961686,76.925094,KOCHUKURIVIKONAM,Rural,Village,Double,no,Near bus stop,Sunny/Clear,T- Junction,Hit from Side,State Highway,Straight Road,Good,Police controlled,Car,Car
ALAPPUZHA,Thrikkunnapuzha,2208/2000,22/01/2020,21/01/2020,10:35:00,20:00:00,"279,304(A)",Grevious Injury,0,1,0,0,0,8.926508,76.917706,COLLEGE JUNCTION ANCHAL,Rural,Village,Double,no,In Open area,Mist/Fog,T- Junction,Hit from Side,State Highway,Straight Road,Good,Police controlled,Scooter,Motor Cycle
ALAPPUZHA,Chengannur,2209/2000,19/01/2020,12/01/2020,20:30:00,15:00:00,"279,337",Grevious Injury,0,1,1,0,0,9.0171,76.651953,KALLADA MARKET JUNCTION,Rural,Village,Single,no,Other,Sunny/Clear,NA,Rear end collision,Other Road,Others,Not Known,Uncontrolled,Motor Cycle,Jeep
ALAPPUZHA,Chengannur,2210/2000,15/01/2020,10/01/2020,17:30:00,13:35:00,"279,337",Grevious Injury,0,1,0,1,0,8.9058894,76.8014512,MATHAYIMUKKU,Rural,Village,Single,no,Near bus stop,Sunny/Clear,NA,Hit Pedestrian,Other Road,Straight Road,Good,Uncontrolled,Car,Car
ALAPPUZHA,Alappuzha South,2211/2000,06/01/2020,03/01/2020,18:00:00,15:45:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.0047763,76.7834623,KOTTARAKKARA,Rural,Village,Double,no,Near hospital,Sunny/Clear,T- Junction,Hit from Side,National Highway,Straight Road,Good,Uncontrolled,Scooter,Car
ALAPPUZHA,Edathua,2212/2000,21/01/2020,18/01/2020,16:30:00,08:00:00,"279,337",Fatal,1,0,0,0,0,8.92099,77.0580193,ESM COLONY,Rural,Village,Double,no,In Residential area,Sunny/Clear,T- Junction,Other,State Highway,Straight Road,Good,Uncontrolled,Scooter,Lorry
ALAPPUZHA,Alappuzha South,2213/2000,08/01/2020,03/01/2020,17:30:00,14:30:00,"279,337,338",Grevious Injury,0,1,0,0,0,8.9764,76.7021,NEDUMPAIKULAM,Rural,Village,Single,no,Near bus stop,Sunny/Clear,T- Junction,Head on Collision,National Highway,Straight Road,Good,Uncontrolled,Scooter,Jeep
ALAPPUZHA,Thrikkunnapuzha,2214/2000,15/01/2020,03/01/2020,17:16:00,17:30:00,"279,337",Grevious Injury,0,1,0,1,0,9.040129,76.716936,PUTHOOR,Rural,Village,Single,no,Other,Light rain,T- Junction,Hit Pedestrian,ODR,Others,Good,Police controlled,Motor Cycle,Car
ALAPPUZHA,Alappuzha South,2215/2000,01/01/2020,01/01/2020,18:38:00,04:00:00,"279,337,338",Grevious Injury,0,1,0,0,0,8.960916,77.067151,THENMALA,Rural,Village,Single,no,Other,Mist/Fog,NA,Skidding,National Highway,Curved Road,Poor,Uncontrolled,Scooter,Car
ALAPPUZHA,Alappuzha South,2216/2000,02/01/2020,18/12/2020,17:00:00,09:00:00,"279,337",Grevious Injury,0,1,0,0,0,8.85887,76.898727,ELAMBAZHANNOOR,Rural,Village,Double,no,In Open area,Sunny/Clear,Staggered junction,Hit from Back,Other Road,Others,Good,Uncontrolled,Car,Truck
ALAPPUZHA,Alappuzha South,2217/2000,03/01/2020,28/12/2020,15:48:00,05:45:00,"279,337,338",Grevious Injury,0,1,0,0,0,8.954786,76.879509,THADICADU,Rural,Village,Single,no,Near bus stop,Sunny/Clear,T- Junction,Hit from Back,Other Road,Curved Road,Good,Police controlled,Motor Cycle,Car
ALAPPUZHA,Alappuzha South,2218/2000,05/01/2020,03/01/2020,23:20:00,17:46:00,"279,337,338",Fatal,1,0,0,1,0,9.01474,76.654042,MONNUMUKKU,Rural,Village,Single,no,Other,Light rain,NA,Hit Pedestrian,State Highway,Others,Not Known,Uncontrolled,Scooter,Mini Buses
ALAPPUZHA,Alappuzha South,2219/2000,14/01/2020,11/01/2020,14:35:00,20:00:00,"279,337",Minor Injury,0,0,2,0,0,9.0196544,76.7525651,PANAYIL JN,Rural,Village,Single,no,Near bus stop,Cloudy,Y- junction,Head on Collision,Other Road,Straight Road,Good,Uncontrolled,Container,Car
ALAPPUZHA,Alappuzha South,2220/2000,14/01/2020,18/12/2020,15:45:00,20:00:00,"279,337,338",Grevious Injury,0,1,0,0,0,8.9969006,76.7564531,THAMARASSERY JN,Rural,Village,Double,no,In Open area,Mist/Fog,Y- junction,Head on Collision,National Highway,Straight Road,Good,Uncontrolled,Motor Cycle,Motor Cycle
ALAPPUZHA,Alappuzha South,2221/2000,17/01/2020,22/12/2020,20:30:00,12:30:00,"279,337,338",Fatal,1,0,0,0,0,8.9545797,76.842691,VALAKAM,Rural,Village,Double,no,Near bus stop,Sunny/Clear,T- Junction,With parked vehicle,State Highway,Straight Road,Good,Uncontrolled,Motor Cycle,Motor Cycle
ALAPPUZHA,Chengannur,2222/2000,07/01/2020,30/12/2020,21:15:00,20:35:00,"279,337,338",Grevious Injury,0,1,0,1,0,9.060008,76.638359,BHARANICKAVU,Rural,Village,Single,no,Near bus stop,Cloudy,Staggered junction,Hit Pedestrian,Other Road,Others,Poor,Uncontrolled,Car,Motor Cycle
ALAPPUZHA,Harippad,2223/2000,14/01/2020,14/01/2020,19:50:00,11:00:00,"279,337,304(A)",Grevious Injury,0,1,0,1,0,8.928809,76.908547,MARKETJUNCTION ANCHAL,Rural,Village,Double,yes,Near bus stop,Sunny/Clear,Round about junction,Hit Pedestrian,State Highway,Straight Road,Good,Police controlled,Scooter,Car
ALAPPUZHA,Harippad,2224/2000,18/01/2020,15/01/2020,17:00:00,12:10:00,"279,337,338",Grevious Injury,0,1,0,0,0,8.9058894,76.8014512,VELIYAM,Rural,Village,Single,no,In Open area,Sunny/Clear,Four arm junction,Right turn collision,Other Road,Straight Road,Good,Uncontrolled,Motor Cycle,JCB
ALAPPUZHA,Harippad,2225/2000,19/01/2020,08/01/2020,13:40:00,10:30:00,"279,337,338",Grevious Injury,0,1,0,1,0,9.035468,76.888418,PV JUNCTION PARAYARUVILA,Rural,Village,Single,no,Near or inside a village,Sunny/Clear,NA,Hit Pedestrian,Other Road,Others,Good,Police controlled,Scooter,Tempo Van
ALAPPUZHA,Harippad,2226/2000,19/01/2020,17/01/2020,16:35:00,14:15:00,"279,337,304(A)",Grevious Injury,0,1,0,1,0,9.060008,76.638359,BHARANICKAVU,Rural,Village,Single,no,Near bus stop,Sunny/Clear,Staggered junction,Hit Pedestrian,Other Road,Others,Good,Uncontrolled,Motor Cycle,Motor Cycle
ALAPPUZHA,Harippad,2227/2000,23/01/2020,20/01/2020,21:30:00,16:15:00,"279,337,338",Fatal,1,0,0,0,0,8.9916435,76.798114,LOWER KARIKKAM,Rural,Village,Double,no,Near bus stop,Sunny/Clear,T- Junction,Head on Collision,State Highway,Straight Road,Good,Uncontrolled,Motor Cycle,KSRTC Bus
ALAPPUZHA,Punnapra,2228/2000,02/01/2020,24/12/2020,14:45:00,11:45:00,"279,337,338",Grevious Injury,0,1,0,0,0,8.9916843,76.7978569,LOWER KARIKOM,Rural,Village,Double,no,Near bus stop,Sunny/Clear,T- Junction,Head on Collision,State Highway,Straight Road,Good,Uncontrolled,Scooter,Scooter
ALAPPUZHA,Punnapra,2229/2000,08/01/2020,06/01/2020,17:00:00,13:30:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.0211872,76.768337,PALLIKKAL ,Rural,Village,Double,no,Near bus stop,Sunny/Clear,T- Junction,Head on Collision,Other Road,Straight Road,Good,Uncontrolled,Motor Cycle,Auto rickshaw
ALAPPUZHA,Mararikkulam,2230/2000,03/01/2020,29/12/2020,23:00:00,10:30:00,"279,337,338",Grevious Injury,0,1,0,1,0,9.0027097,76.7466855,MARANGATTUKONAM,Rural,Village,Double,no,Near bus stop,Sunny/Clear,T- Junction,Hit Pedestrian,State Highway,Straight Road,Good,Uncontrolled,Motor Cycle,Auto rickshaw
ALAPPUZHA,Ramankari,2231/2000,29/01/2020,28/01/2020,17:45:00,13:30:00,"279,337,338",Grevious Injury,0,2,0,0,0,9.039542,76.7736514,INCHAKKADU,Rural,Village,Single,no,Near bus stop,Sunny/Clear,T- Junction,Head on Collision,State Highway,Straight Road,Good,Uncontrolled,Scooter,Motor Cycle
ALAPPUZHA,Harippad,2232/2000,02/01/2020,27/12/2020,10:30:00,13:30:00,"279,337,338",Grevious Injury,0,1,0,0,0,8.9301443,76.8620482,MARKET JN,Rural,Village,Single,no,Near or inside a village,Sunny/Clear,Y- junction,Hit and run,State Highway,Straight Road,Good,Uncontrolled,Motor Cycle,Car
ALAPPUZHA,Harippad,2233/2000,10/01/2020,04/01/2020,18:37:00,14:00:00,"279,337",Grevious Injury,0,1,1,0,0,9.0187,76.9139,CHEMMANTHOOR,Rural,Village,Single,no,Near or inside a village,Sunny/Clear,Staggered junction,Hit and run,State Highway,Straight Road,Good,Uncontrolled,Motor Cycle,Car
ALAPPUZHA,Harippad,2234/2000,12/01/2020,08/01/2020,20:00:00,08:00:00,"279,337,338,134(a+b)",Grevious Injury,0,1,0,1,0,8.927421,76.914077,RO JUNCTION ANCHAL,Rural,Town,Double,no,Near bus stop,Sunny/Clear,Round about junction,Hit Pedestrian,State Highway,Straight Road,Good,Police controlled,Car,Lorry
ALAPPUZHA,Harippad,2235/2000,14/01/2020,12/01/2020,14:10:00,12:00:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.0183,76.9286,TB JN,Rural,Village,Single,no,Near or inside a village,Sunny/Clear,Four arm junction,Hit and run,National Highway,Straight Road,Good,Uncontrolled,Auto rickshaw,Car
ALAPPUZHA,Chengannur,2236/2000,06/01/2020,20/12/2020,17:00:00,12:00:00,MO(Minor),Grevious Injury,0,1,0,1,0,8.997,76.92729,KSRTC JN,Rural,Village,Single,no,Near bus stop,Sunny/Clear,Staggered junction,Hit Pedestrian,National Highway,Straight Road,Good,Police controlled,Car,Car
ALAPPUZHA,Mararikkulam,2237/2000,06/01/2020,06/01/2020,15:30:00,14:00:00,"279,337,338",Fatal,1,0,0,1,0,8.961641,76.925089,MAVILA,Rural,Village,Double,no,Near bus stop,Sunny/Clear,T- Junction,Hit Pedestrian,State Highway,Straight Road,Good,Police controlled,Jeep,Auto rickshaw
ALAPPUZHA,Kareelakulangara,2238/2000,01/01/2020,31/12/2020,12:56:00,06:00:00,"279,304(A)",Grevious Injury,0,1,1,0,0,8.9058894,76.7935967,CHERUVAKKAL,Rural,Village,Single,no,Near bus stop,Sunny/Clear,NA,Right turn collision,Other Road,Others,Good,Uncontrolled,Motor Cycle,Auto rickshaw
ALAPPUZHA,Punnapra,2239/2000,11/01/2020,26/12/2020,15:03:00,20:00:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.008738,76.657773,RANDU ROAD,Rural,Village,Single,yes,Other,Sunny/Clear,NA,Hit and run,State Highway,Others,Not Known,Flashing signal/blinker,Motor Cycle,Other Medium Goods vehicle
ALAPPUZHA,Kareelakulangara,2240/2000,20/01/2020,20/01/2020,11:30:00,15:00:00,MO(Death),Grevious Injury,0,1,0,0,0,9.007827,76.856982,CHAPPATH JN,Rural,Village,Single,no,Near or inside a village,Sunny/Clear,NA,Skidding,Other Road,Others,Good,Police controlled,Motor Cycle,Motor Cycle
ALAPPUZHA,Kareelakulangara,2241/2000,04/01/2020,01/12/2020,12:02:00,02:30:00,"279,337,338",Fatal,1,0,0,0,0,8.97184,77.061071,40 MILETHENMALA,Rural,Village,Single,no,Other,Mist/Fog,NA,Hit from Side,National Highway,Curved Road,Poor,Uncontrolled,Motor Cycle,Private Bus
ALAPPUZHA,Kareelakulangara,2242/2000,01/01/2020,23/12/2020,21:49:00,12:35:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.0176,76.9261,KSRTC JN,Rural,Village,Single,no,Near bus stop,Sunny/Clear,Staggered junction,Hit and run,State Highway,Straight Road,Good,Police controlled,Goods Auto,Other Medium Goods vehicle
ALAPPUZHA,Punnapra,2243/2000,11/01/2020,11/01/2020,15:45:00,09:20:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.0089,76.9297,THOLIKODU,Rural,Village,Single,no,Near or inside a village,Sunny/Clear,Staggered junction,Hit and run,State Highway,Straight Road,Good,Uncontrolled,Motor Cycle,Motor Cycle
ALAPPUZHA,Punnapra,2244/2000,05/01/2020,13/12/2020,00:52:00,14:30:00,"279,338",Minor Injury,0,0,2,0,0,8.965476,77.113064,MURUKANPANCHAAL,Rural,Village,Single,no,Other,Sunny/Clear,NA,Hit and run,National Highway,Curved Road,Good,Uncontrolled,Motor Cycle,Car
ALAPPUZHA,Nedumudy,2245/2000,16/01/2020,13/12/2020,12:30:00,12:30:00,"279,337",Grevious Injury,0,1,0,1,0,9.037729,76.888348,KARYARA LPS JN,Rural,Village,Single,no,Near or inside a village,Sunny/Clear,T- Junction,Hit Pedestrian,Other Road,Others,Good,Police controlled,Motor Cycle,Car
ALAPPUZHA,Chengannur,2246/2000,03/01/2020,30/12/2020,13:40:00,08:45:00,"279,337,338",Grevious Injury,0,1,0,0,0,8.9406528,76.8578005,POLIKODU,Rural,Village,Single,no,Near bus stop,Sunny/Clear,T- Junction,Head on Collision,Other Road,Straight Road,Good,Uncontrolled,Motor Cycle,Auto rickshaw
ALAPPUZHA,Punnapra,2247/2000,09/01/2020,09/01/2020,12:15:00,06:00:00,"279,337,338",Fatal,1,0,0,1,0,8.998783,76.989471,KUNNUMPURAM,Rural,Village,Single,no,Near a religious place,Sunny/Clear,NA,Hit Pedestrian,National Highway,Curved Road,Good,Uncontrolled,Motor Cycle,Motor Cycle
ALAPPUZHA,Muhamma,2248/2000,11/01/2020,09/01/2020,13:00:00,15:00:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.054504,76.7693567,KALAYAPURAM,Rural,Village,Double,no,Near bus stop,Sunny/Clear,T- Junction,Head on Collision,State Highway,Straight Road,Good,Uncontrolled,Motor Cycle,Scooter
ALAPPUZHA,Kareelakulangara,2249/2000,09/01/2020,07/01/2020,17:32:00,02:45:00,"279,337,338",Non Injury,0,0,0,0,0,8.970889,77.045343,OTTAKKAL,Rural,Village,Single,yes,Near bus stop,Mist/Fog,NA,Hit from Side,National Highway,Curved Road,Poor,Uncontrolled,Scooter,Scooter
ALAPPUZHA,Kareelakulangara,2250/2000,04/01/2020,25/12/2020,18:00:00,08:30:00,"279,337,338",Grevious Injury,0,1,0,0,0,8.880925,76.7107778,KARIKKAMKULAM,Rural,Village,Double,no,Near bus stop,Sunny/Clear,T- Junction,Other,State Highway,Straight Road,Good,Police controlled,Scooter,Motor Cycle
ALAPPUZHA,Kareelakulangara,2251/2000,03/01/2020,27/12/2020,09:20:00,09:00:00,"279,337,338",Grevious Injury,0,1,0,0,0,8.989464,77.012034,URUKUNNU,Rural,Village,Single,no,Near petrol pump,Cloudy,NA,Hit from Side,National Highway,Curved Road,Poor,Uncontrolled,Motor Cycle,Auto rickshaw
ALAPPUZHA,Mararikkulam,2252/2000,01/01/2020,27/12/2020,13:40:00,09:10:00,"279,337",Minor Injury,0,0,1,1,0,9.0056644,76.7818636,PULAMAN JN,Rural,Village,Double,no,Near bus stop,Sunny/Clear,T- Junction,Hit Pedestrian,National Highway,Straight Road,Good,Uncontrolled,Motor Cycle,Motor Cycle
ALAPPUZHA,Mararikkulam,2253/2000,10/01/2020,31/12/2020,12:45:00,17:00:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.0272599,76.7841285,MUDIKKALA,Rural,Village,Double,no,Near bus stop,Sunny/Clear,T- Junction,Head on Collision,Other Road,Straight Road,Good,Uncontrolled,Motor Cycle,Motor Cycle
ALAPPUZHA,Kareelakulangara,2254/2000,11/01/2020,06/01/2020,11:15:00,08:00:00,"279,337,338",Fatal,1,0,0,1,0,9.069607,76.857086,SATHYANMUKKU,Rural,Village,Single,no,Near a religious place,Sunny/Clear,Four arm junction,Hit Pedestrian,Other Road,Others,Good,Uncontrolled,Motor Cycle,Car
ALAPPUZHA,Mararikkulam,2255/2000,11/01/2020,10/01/2020,12:35:00,08:30:00,"279,337",Fatal,1,0,0,0,0,8.964085,77.116657,KAZHUTHURUTTY,Rural,Village,Single,no,Near a religious place,Sunny/Clear,NA,Hit from Side,National Highway,Curved Road,Good,Uncontrolled,Scooter,Car
ALAPPUZHA,Kareelakulangara,2256/2000,12/01/2020,08/01/2020,18:14:00,11:30:00,"279,337,338",Grevious Injury,0,1,0,0,0,8.9562544,76.9708798,MUZHATHANG,Rural,Village,Single,no,Near a religious place,Sunny/Clear,NA,Skidding,Other Road,Straight Road,Good,Uncontrolled,Scooter,Car
ALAPPUZHA,Kareelakulangara,2257/2000,13/01/2020,09/01/2020,21:32:00,21:20:00,"279,337,338",Minor Injury,0,0,1,0,0,8.9387108,76.6770564,PERUMPUZHA,Rural,Village,Single,no,Near a religious place,Sunny/Clear,T- Junction,Skidding,Other Road,Others,Good,Uncontrolled,Motor Cycle,Car
ALAPPUZHA,Mararikkulam,2258/2000,20/01/2020,20/01/2020,19:15:40,13:20:00,"279,337,304(A)",Grevious Injury,0,1,0,0,0,8.9405312,76.6563979,KALLUPALAKKADA,Rural,Village,Single,no,Near bus stop,Sunny/Clear,NA,Head on Collision,Other Road,Others,Good,Uncontrolled,Motor Cycle,Car
ALAPPUZHA,Mararikkulam,2259/2000,24/01/2020,24/01/2020,15:30:00,08:15:00,"279,337",Minor Injury,0,0,2,0,0,8.9072411,76.7604715,POOYAPPALLY,Rural,Village,Single,no,Near bus stop,Sunny/Clear,T- Junction,Head on Collision,Other Road,Straight Road,Good,Uncontrolled,Scooter,Mini Lorry
ALAPPUZHA,Kareelakulangara,2260/2000,03/01/2020,01/01/2020,16:43:00,19:00:00,"279,337,338",Grevious Injury,0,1,0,1,0,8.9582134,76.6731592,MUKKADA,Rural,Village,Single,no,Near hospital,Sunny/Clear,T- Junction,Hit Pedestrian,National Highway,Others,Good,Uncontrolled,Scooter,Car
ALAPPUZHA,Punnapra,2261/2000,12/01/2020,11/01/2020,19:03:00,18:30:00,"279,337,338",Grevious Injury,0,1,0,0,0,8.929976,76.9299007,RANDEKKARMUKK,Rural,Village,Single,no,Near bus stop,Sunny/Clear,NA,Right turn collision,Other Road,Curved Road,Not Known,Uncontrolled,Scooter,Car
ALAPPUZHA,Nooranadu,2262/2000,15/01/2020,09/01/2020,12:45:00,09:00:00,"279,337,338",Grevious Injury,0,1,0,0,0,9.0048197,76.7756218,KOTTARAKKARA,Rural,Village,Double,no,Near bus stop,Sunny/Clear,T- Junction,Hit Pedestrian,National Highway,Straight Road,Good,Uncontrolled,Motor Cycle,Car
